"G","A","PM","PIM","S","ATOI","BLK","HIT","FO","Pos"
14,12,-6,25,134,914,32,125,43.1,"C"
9,2,-11,14,81,707,27,72,52.9,"C"
2,4,4,8,36,875,13,27,0,"W"
7,20,19,24,137,1325,123,92,0,"D"
0,4,4,14,22,790,51,99,0,"D"
16,28,-8,18,153,1074,41,98,54.5,"C"
13,18,16,34,131,1364,97,93,0,"D"
16,27,2,28,129,1016,33,50,56,"C"
2,6,7,25,74,995,86,84,0,"D"
8,13,9,8,70,894,28,124,55.9,"C"
10,24,-12,80,147,958,25,254,55.8,"W"
7,22,-1,28,164,1125,115,131,0,"D"
1,3,-4,57,19,696,27,77,0,"D"
6,15,8,30,82,1191,131,36,0,"D"
3,11,-9,31,86,678,45,124,52.1,"C"
39,58,11,55,284,1194,22,38,41.9,"C"
11,11,4,6,79,831,24,48,42.6,"C"
42,56,16,87,239,1139,32,48,43.7,"C"
3,1,2,7,28,631,9,51,0,"W"
7,12,0,56,111,1077,76,113,0,"D"
7,30,34,62,117,1221,99,180,0,"D"
24,24,-1,52,190,1038,36,91,32.7,"W"
34,51,25,63,182,1183,25,37,39.7,"W"
27,48,36,40,268,1050,26,99,43.5,"C"
27,20,1,16,203,1019,26,85,52.2,"W"
22,47,-1,26,194,983,25,31,52.6,"C"
17,26,1,73,141,1910,14,150,45.8,"W"
3,9,0,50,46,479,9,147,75,"W"
9,16,3,34,111,1372,206,100,0,"D"
6,9,-24,45,112,841,42,128,36.4,"W"
10,17,-1,61,167,1280,137,53,0,"D"
34,29,25,12,187,1088,61,16,54.5,"C"
1,2,-1,10,26,670,14,22,42.9,"W"
2,10,-6,45,58,1071,73,77,0,"D"
7,25,20,53,77,1329,80,133,0,"D"
3,9,-11,26,53,1170,79,110,0,"D"
9,19,11,30,143,795,32,43,38.5,"C"
3,2,-5,37,33,501,8,56,42.9,"W"
3,1,-10,25,26,905,43,71,0,"D"
41,67,20,26,274,1293,46,28,41.4,"C"
4,25,8,20,99,2712,163,71,0,"D"
16,14,-12,22,159,870,17,137,45.9,"W"
13,16,-5,33,116,807,22,120,26.9,"W"
2,2,-4,8,21,581,10,19,49.4,"C"
1,3,-11,111,36,883,19,131,0,"W"
5,10,26,52,88,1209,176,225,0,"D"
1,3,-1,62,39,942,56,80,0,"D"
21,15,2,51,210,892,48,105,48.6,"W"
1,2,7,22,30,965,42,35,0,"D"
0,7,5,4,43,935,71,1,0,"D"
1,2,11,31,25,1073,52,77,0,"D"
14,8,-8,10,69,699,11,28,0,"W"
10,31,-4,53,177,1161,64,165,100,"D"
23,35,-4,40,143,2091,26,124,54.3,"W"
1,15,16,70,64,1168,111,164,0,"D"
6,5,-5,30,55,1271,29,53,49.6,"C"
3,2,-2,4,17,632,10,26,48.4,"W"
31,33,3,24,202,1121,17,35,50.4,"C"
9,23,16,42,160,1228,83,96,0,"D"
6,6,3,16,46,618,19,41,54.3,"C"
7,11,3,47,141,1201,105,135,0,"D"
7,19,15,47,102,1227,168,139,50,"D"
6,10,-4,26,83,1937,67,79,0,"D"
5,2,-4,6,64,1429,27,93,27.3,"W"
0,4,1,4,19,1001,42,15,0,"D"
2,12,-3,34,109,982,101,138,0,"D"
2,3,8,16,25,1141,19,5,0,"D"
1,11,4,8,34,1106,75,31,0,"D"
8,34,10,40,154,1299,123,170,0,"D"
6,30,9,48,150,1286,119,68,0,"D"
22,26,6,45,155,1993,44,79,45.8,"C"
21,13,-12,28,230,2037,42,51,21.1,"W"
15,26,16,18,113,925,67,86,48.4,"C"
25,19,-11,24,202,1031,30,44,0,"W"
19,16,-4,43,138,884,52,50,48.3,"W"
3,5,-14,8,48,1127,37,31,0,"D"
3,12,27,41,73,1191,185,66,0,"D"
18,14,14,36,133,900,20,58,45.5,"W"
16,17,1,14,134,950,62,49,46.4,"C"
15,11,6,14,84,895,56,27,30.8,"W"
1,8,6,12,23,612,19,30,44.3,"C"
7,22,24,36,120,1356,98,117,0,"D"
13,14,12,36,127,797,41,112,36.4,"W"
4,4,-13,69,50,588,17,123,25,"W"
2,5,-11,6,97,634,41,107,46.8,"W"
7,8,6,14,92,666,24,53,53.8,"W"
24,24,10,20,151,1085,39,44,48.8,"C"
6,20,15,67,194,1335,153,161,0,"D"
7,16,13,14,79,962,40,42,0,"D"
20,41,20,10,184,1001,18,21,51.4,"C"
21,19,-2,20,213,1071,36,65,46.2,"W"
0,3,-7,6,21,1689,44,42,0,"D"
0,4,-2,2,17,1193,6,5,48.3,"C"
24,37,-23,2,230,1249,48,42,60,"C"
4,4,1,32,59,1774,76,50,0,"D"
5,10,-11,8,99,1231,97,62,0,"D"
15,29,-34,40,161,1022,34,70,46,"W"
5,12,7,87,81,1944,76,174,0,"D"
0,8,0,14,22,766,44,23,0,"D"
10,21,10,22,125,1388,116,128,0,"D"
0,10,-9,68,54,1162,168,218,0,"D"
18,29,2,31,127,1105,54,124,47.9,"W"
0,7,-3,6,57,831,43,36,0,"D"
49,38,3,32,355,1209,21,139,37.5,"W"
8,4,-11,12,126,1514,42,104,25,"W"
17,20,-16,30,212,1141,27,118,35,"W"
14,15,-14,36,147,1004,69,131,51.2,"C"
2,1,1,6,50,612,17,72,16.7,"W"
11,24,16,6,109,1020,48,80,22.6,"W"
24,20,-1,30,181,1039,50,94,33.3,"W"
27,55,23,26,228,1208,19,15,0,"W"
14,21,7,38,136,1826,37,137,33.3,"W"
5,4,-5,41,64,612,32,112,46.9,"C"
6,29,-7,13,212,1357,141,120,0,"D"
15,9,0,14,119,1025,37,26,41.7,"W"
35,45,10,37,246,1078,31,55,20,"W"
1,12,6,50,100,1177,148,155,0,"D"
13,17,1,30,127,823,19,48,50.6,"C"
22,44,0,41,224,1155,70,93,54.9,"C"
15,25,11,27,180,958,36,116,49.3,"W"
3,16,7,28,106,1156,142,100,0,"D"
17,13,-2,28,129,871,34,83,45.5,"W"
17,22,4,38,139,868,25,120,55.9,"C"
16,50,1,50,125,1069,20,118,40.3,"W"
17,32,-4,71,168,1067,36,59,12.5,"W"
3,16,-6,18,88,1254,101,57,0,"D"
2,11,-2,98,60,879,74,142,0,"D"
11,30,-30,28,177,1410,138,167,0,"D"
1,3,5,6,16,817,27,18,0,"D"
6,20,-15,49,134,2383,154,161,0,"D"
15,39,8,22,216,1544,164,48,0,"D"
1,13,-1,12,54,1343,41,49,0,"D"
14,13,9,34,129,821,57,122,27.7,"C"
6,20,1,45,144,1641,41,61,53.3,"C"
32,34,18,24,217,1177,57,26,47.4,"C"
2,10,5,46,47,1059,84,131,0,"D"
16,18,-17,8,168,894,35,39,57.9,"W"
1,1,2,0,27,754,18,20,0,"D"
13,6,-8,22,83,821,34,69,36.4,"W"
3,19,-22,39,78,1071,118,79,0,"D"
3,6,8,19,27,1729,84,60,0,"D"
17,24,17,20,203,1449,169,148,0,"D"
12,8,-1,14,136,802,23,67,0,"W"
10,22,-4,14,184,1104,86,113,0,"D"
7,15,-12,10,103,843,93,55,33.3,"W"
3,13,-8,20,106,1126,123,102,0,"D"
0,3,-2,4,15,704,9,32,38.8,"C"
27,45,4,72,217,1208,64,77,60,"W"
13,9,9,28,96,795,50,90,59.1,"W"
34,35,6,14,230,1165,30,115,46.7,"C"
29,55,0,34,178,1138,40,32,51.3,"W"
14,17,0,12,126,923,29,62,54.9,"C"
1,3,4,8,19,534,15,31,48.6,"C"
4,6,-7,94,42,1000,27,236,50,"W"
3,16,-5,26,66,1953,37,41,0,"D"
25,25,-24,26,188,1026,42,48,39.4,"C"
3,12,-24,45,105,886,52,72,52.1,"C"
12,13,-12,6,114,1687,41,96,47.8,"W"
6,46,-4,14,182,1296,84,48,0,"D"
5,2,-7,44,56,677,23,188,26.7,"W"
6,35,-25,48,182,1590,111,206,100,"D"
7,7,1,42,117,650,10,172,0,"W"
10,17,3,72,122,791,27,221,35.3,"W"
7,18,-10,14,91,836,23,19,42.4,"W"
5,9,5,2,38,739,9,20,46.2,"C"
5,12,1,126,85,746,42,104,57.9,"W"
2,3,-13,4,21,561,24,74,52.9,"W"
6,1,3,6,26,819,7,11,0,"W"
2,3,-8,16,67,944,43,67,0,"D"
4,17,-7,8,90,1144,223,97,0,"D"
13,25,11,26,123,963,40,97,25.8,"W"
6,14,-1,24,71,1155,64,24,0,"D"
11,22,-12,14,112,987,52,97,54.5,"W"
15,23,-15,28,135,936,27,52,56.5,"C"
3,9,13,8,79,1005,98,33,0,"D"
18,17,-10,14,237,1050,32,29,46.3,"W"
